AUSTRALIA - AUSTRALIAN DOLLAR/US$,EURO AREA - EURO/US$,NEW ZEALA - NEW ZELA DOLLAR/US$,UNITED KINGDOM - UNITED KINGDOM POU/US$,BRAZIL - REAL/US$,CANADA - CANADIAN DOLLAR/US$,CHINA - YUAN/US$,HONG KONG - HONG KONG DOLLAR/US$,IIA - IIAN RUPEE/US$,KOREA - WON/US$,MEXICO - MEXICAN PESO/US$,SOUTH AFRICA - RA/US$,SINGAPORE - SINGAPORE DOLLAR/US$,DENMARK - DANISH KRONE/US$,JAPAN - YEN/US$,MALAYSIA - RINGGIT/US$,NORWAY - NORWEGIAN KRONE/US$,SWEDEN - KRONA/US$,SRI LANKA - SRI LANKAN RUPEE/US$,SWITZERLA - FRANC/US$,TAIWAN - NEW TAIWAN DOLLAR/US$,THAILA - BAHT/US$
1.9357,1.1621,2.3697,0.715,2.4295,1.6126,8.2767,7.797,48.37,1321.3,9.159,11.55,1.8335,8.631,133.43,3.8,9.111,1.729,93.6,1.79,35.2,44.1
1.9455,1.157,2.3652,0.776,2.43,1.593,8.2766,7.7995,48.43,1313.6,9.171,11.41,1.834,8.595,133.51,3.8,9.755,1.6625,93.6,1.738,35,44.7
1.9763,1.1563,2.462,0.762,2.444,1.591,8.2765,7.7998,48.53,1311,9.193,11.46,1.8355,8.5898,132.84,3.8,9.634,1.656,93.6,1.745,34.99,43.98
1.9716,1.1636,2.3998,0.782,2.49,1.5915,8.2765,7.7995,48.56,1314.4,9.152,11.42,1.8365,8.647,134.6,3.8,9.18,1.672,93.6,1.719,34.99,44.5
1.9685,1.161,2.3964,0.763,2.414,1.598,8.2766,7.7998,48.55,1317.6,9.1575,11.68,1.835,8.6275,133.77,3.8,9.15,1.68,93.6,1.7179,35,44.6
1.9589,1.1514,2.3981,0.744,2.4245,1.5919,8.2766,7.7999,48.61,1322.5,9.17,11.635,1.8345,8.552,132.71,3.8,9.36,1.639,93.85,1.721,35.5,44
1.9658,1.1531,2.415,0.757,2.425,1.5985,8.2765,7.7998,48.69,1316.8,9.134,11.63,1.8347,8.566,133.9,3.8,9.51,1.6575,93.6,1.697,34.99,44.2
1.9631,1.154,2.396,0.773,2.43,1.642,8.2767,7.7998,48.71,1316.7,9.128,11.48,1.832,8.55,133.72,3.8,9.75,1.61,93.6,1.6948,35.2,43.99
1.9724,1.157,2.412,0.784,2.454,1.637,8.2766,7.7996,48.72,1318.2,9.131,11.4562,1.831,8.5465,133.49,3.85,9.32,1.6345,93.45,1.6948,35.3,43.86
1.9592,1.1459,2.3929,0.754,2.4656,1.597,8.2767,7.7993,48.7,132.2,9.15,11.48,1.8335,8.512,134.77,3.85,8.984,1.61,93.6,1.69,35.8,43.98
1.9512,1.1392,2.384,0.724,2.458,1.5895,8.2768,7.7997,48.75,132.2,9.8,11.58,1.839,8.4675,133.62,3.8,8.935,1.555,93.6,1.6835,35.8,43.87
1.9658,1.145,2.3912,0.6982,2.457,1.5919,8.2768,7.7998,48.69,132.2,9.96,11.43,1.8295,8.475,132.82,3.8,8.925,1.567,93.6,1.6855,35.8,43.83
1.9658,1.1455,2.3929,0.6994,2.422,1.591,8.2768,7.7997,48.9,1324.5,9.48,11.53,1.83,8.515,133.23,3.8,8.9575,1.585,93.6,1.697,35.8,43.81
1.9354,1.1477,2.3781,0.7,2.4275,1.5919,8.2768,7.7998,48.71,1316.2,9.89,11.565,1.825,8.525,132.26,3.85,8.9275,1.5475,93.6,1.75,35.8,43.62
1.9354,1.1455,2.368,0.6986,2.434,1.598,8.2768,7.7995,48.71,1315.2,9.63,11.45,1.8255,8.5125,132.76,3.85,8.8875,1.5,93.6,1.698,35.1,43.61
1.9316,1.141,2.3759,0.6992,2.4265,1.5885,8.277,7.7994,48.67,1321,9.71,11.515,1.832,8.483,133.45,3.85,8.881,1.495,93.6,1.6895,35.1,43.8
1.9339,1.1488,2.3787,0.78,2.428,1.595,8.2768,7.7995,48.64,132,9.89,11.41,1.829,8.533,133.76,3.85,8.929,1.565,93.7,1.6999,35.1,43.77
1.9346,1.1478,2.3889,0.716,2.422,1.5914,8.2766,7.7994,48.69,1318.8,9.775,11.44,1.8313,8.536,134.27,3.8,8.896,1.4995,93.7,1.6987,35.1,43.9
1.9482,1.1419,2.3889,0.6993,2.424,1.5945,8.2765,7.7994,48.79,1322,9.115,11.44,1.8328,8.488,133.85,3.8,8.871,1.445,93.7,1.689,35.1,43.89
1.9486,1.1477,2.3935,0.711,2.4,1.61,8.2765,7.7995,48.82,1323.9,9.8,11.475,1.8317,8.529,133.89,3.8,8.882,1.436,93.7,1.6948,35.9,43.83
1.9433,1.1518,2.3895,0.73,2.465,1.6112,8.2767,7.7994,48.75,1325.4,9.855,11.45,1.8337,8.561,134.35,3.8,8.92,1.469,93.75,1.6995,35.9,43.84
1.9387,1.1571,2.3861,0.76,2.38,1.684,8.2765,7.7991,48.76,1327.3,9.1,11.393,1.837,8.61,134.63,3.8,8.92,1.495,93.75,1.785,35.11,43.82
1.9354,1.155,2.3736,0.778,2.361,1.649,8.2765,7.7995,48.76,1323.8,9.13,11.36,1.8315,8.5725,133.96,3.8,8.9175,1.47,93.75,1.725,35.11,43.72
1.9316,1.1558,2.3669,0.747,2.351,1.5955,8.2766,7.7998,48.76,1323.8,9.95,11.2825,1.8314,8.5875,133.35,3.8,8.8875,1.5,93.9,1.76,35.1,43.69
1.9223,1.1488,2.3463,0.728,2.341,1.59,8.2767,7.7995,48.72,1318.2,9.8,1.975,1.826,8.5325,132.2,3.85,8.8475,1.3925,93.9,1.697,35.9,43.61
1.925,1.1496,2.3474,0.736,2.336,1.595,8.277,7.7997,48.72,1316.4,9.78,11.5,1.8242,8.5435,132.31,3.8,8.832,1.389,94.2,1.6977,35.7,43.62
1.9172,1.14,2.3337,0.723,2.352,1.5835,8.2766,7.7998,48.71,1316.3,9.87,11.22,1.825,8.475,13.85,3.8,8.798,1.316,94.4,1.6819,35.3,43.53
1.937,1.137,2.325,0.72,2.365,1.5823,8.2771,7.7997,48.76,1314.5,9.76,11.59,1.8176,8.451,127.7,3.8,8.765,1.39,94.4,1.673,34.99,43.27
1.912,1.1426,2.3229,0.729,2.35,1.5857,8.2771,7.8,48.76,1314.3,9.71,11.68,1.8215,8.4935,128.21,3.8,8.812,1.372,94.5,1.681,34.95,43.37
1.9186,1.145,2.3364,0.732,2.3545,1.5843,8.2769,7.7995,48.76,1317,9.74,11.476,1.8196,8.478,128.8,3.8,8.828,1.353,94.55,1.6775,34.95,43.31
1.929,1.1417,2.3294,0.769,2.342,1.5858,8.2767,7.7999,48.76,1318.5,9.745,11.46,1.8215,8.484,128.67,3.8,8.835,1.394,94.55,1.6767,34.95,43.25
1.9231,1.143,2.3283,0.764,2.3475,1.5935,8.28,7.7999,48.74,132.5,9.1115,11.635,1.8248,8.473,129.43,3.8,8.854,1.475,94.7,1.6739,34.98,43.32
1.9124,1.1343,2.3256,0.742,2.3445,1.5943,8.2774,7.7998,48.77,132.5,9.114,11.6912,1.8218,8.4335,128.94,3.8,8.792,1.36,94.82,1.6595,34.98,43.23
1.922,1.1334,2.2899,0.723,2.348,1.5863,8.278,7.7996,48.73,1322.8,9.85,11.96,1.8217,8.428,129.1,3.8,8.798,1.337,94.95,1.6596,34.99,43.27
1.966,1.133,2.2962,0.715,2.345,1.588,8.2773,7.7994,48.74,1325.5,9.725,11.95,1.8275,8.42,131.27,3.8,8.766,1.285,94.95,1.6585,35.3,43.44
1.912,1.1357,2.368,0.736,2.34,1.5842,8.2775,7.7994,48.76,1326.5,9.72,11.66,1.834,8.443,132.3,3.8,8.783,1.265,94.95,1.6622,35.5,43.48
1.8839,1.1317,2.266,0.713,2.337,1.5793,8.2774,7.7997,48.76,1325.8,9.72,11.675,1.8276,8.4155,131.6,3.8,8.739,1.29,95.5,1.6568,35.5,43.35
1.879,1.1317,2.2686,0.6999,2.349,1.588,8.2772,7.7998,48.78,1326.8,9.63,11.5,1.8287,8.413,131.86,3.8,8.72,1.1975,95.4,1.6555,35.4,43.33
1.8776,1.1375,2.2743,0.711,2.357,1.5767,8.277,7.7997,48.8,1328.4,9.38,11.47,1.8335,8.4565,132.88,3.8,8.764,1.255,95.5,1.6623,35.4,43.41
1.885,1.145,2.2795,0.715,2.363,1.5858,8.2769,7.7998,48.8,1331.5,9.2,11.55,1.8395,8.48,133.46,3.8,8.83,1.2765,95.5,1.666,35.5,43.4
1.8914,1.146,2.291,0.78,2.343,1.5925,8.2771,7.7994,48.78,1329.3,9.31,11.49,1.849,8.4785,132.78,3.8,8.7925,1.276,95.5,1.669,35.4,43.34
1.8957,1.146,2.2962,0.723,2.329,1.5938,8.2772,7.7993,48.83,1331.5,9.175,11.48,1.8426,8.519,132.61,3.8,8.837,1.351,95.75,1.6786,35.2,43.36
1.8741,1.148,2.2696,0.721,2.325,1.594,8.2774,7.7999,48.83,1327,9.12,11.335,1.8437,8.535,132.61,3.8,8.845,1.372,95.75,1.685,35.1,43.54
1.8751,1.1472,2.271,0.718,2.326,1.5958,8.2774,7.8,48.83,1325.9,9.5,11.38,1.8425,8.5285,132.7,3.8,8.853,1.363,95.75,1.682,35,43.6
1.872,1.1356,2.2589,0.6941,2.325,1.5995,8.278,7.7996,48.83,1327.5,9.14,11.36,1.8468,8.487,133.32,3.8,8.745,1.237,95.75,1.667,35,43.64
1.872,1.1387,2.2624,0.6965,2.299,1.5934,8.2772,7.7996,48.85,1329,9.2,11.21,1.8472,8.466,133.4,3.8,8.755,1.281,95.75,1.6655,35.1,43.79
1.8818,1.1358,2.2758,0.6969,2.31,1.589,8.2773,7.7997,48.91,1329,9.4,11.14,1.8423,8.444,132.65,3.8,8.692,1.32,96.5,1.667,35,43.68
1.885,1.1391,2.2743,0.6969,2.36,1.593,8.2771,7.7996,48.92,133.5,9.475,11.24,1.8418,8.4725,132.3,3.8,8.715,1.325,96,1.6654,35,43.63
1.8847,1.1357,2.2847,0.6969,2.297,1.59,8.277,7.7997,48.86,133.5,9.29,11.14,1.8356,8.446,131.73,3.8,8.685,1.25,96.1,1.6637,35,43.56
1.8975,1.1429,2.3116,0.6988,2.291,1.5941,8.277,7.7998,48.91,1328.2,9.21,11.163,1.8363,8.496,131.27,3.8,8.7175,1.3675,96,1.674,34.98,43.54
1.8961,1.1373,2.315,0.6971,2.29,1.5964,8.2769,7.7998,48.92,1329.6,9.42,11.266,1.8366,8.4525,131.3,3.8,8.6875,1.3275,95.9,1.6676,34.98,43.52
1.8857,1.1371,2.2883,0.6961,2.2745,1.593,8.2771,7.7997,48.91,1329.2,9.5,11.233,1.8353,8.459,13.75,3.8,8.76,1.355,95.9,1.672,34.98,43.49
1.872,1.1326,2.2594,0.6953,2.273,1.5879,8.2772,7.7999,48.93,133,9.74,11.241,1.8375,8.4175,131.55,3.8,8.6365,1.284,95.8,1.664,34.99,43.53
1.8737,1.1374,2.2614,0.6958,2.297,1.5879,8.2772,7.7997,48.94,1332,9.78,11.24,1.8375,8.461,132.9,3.8,8.654,1.3155,95.85,1.6678,35,43.57
1.8822,1.1361,2.2712,0.6958,2.324,1.5892,8.2771,7.895,48.96,1327.9,9.182,11.18,1.8367,8.45,131.95,3.8,8.667,1.3635,95.85,1.6666,34.99,43.5
1.8797,1.1325,2.2743,0.6946,2.315,1.5798,8.2772,7.7995,48.96,1325.6,9.1625,11.235,1.834,8.425,131.19,3.8,8.658,1.382,96.5,1.6638,34.98,43.48
1.8622,1.1255,2.2523,0.6926,2.319,1.5745,8.2772,7.82,48.96,1318.7,9.25,11.153,1.8287,8.37,13.7,3.8,8.67,1.29,96.5,1.655,34.96,43.36
1.8563,1.1238,2.2452,0.697,2.334,1.5747,8.2772,7.7995,48.93,1313.2,9.242,11.98,1.8236,8.357,129.84,3.8,8.585,1.329,96.5,1.6485,34.94,43.26
1.8553,1.1245,2.2386,0.691,2.3235,1.5723,8.2775,7.7995,48.92,1312.2,9.2235,11.14,1.8222,8.3625,13.5,3.8,8.555,1.29,96.15,1.658,34.9,43.32
1.8553,1.1265,2.246,0.692,2.342,1.573,8.2772,7.7995,48.95,138.8,9.254,1.991,1.814,8.37,129.9,3.8,8.573,1.3685,96.2,1.6543,34.85,43.26
1.8546,1.124,2.2386,0.693,2.349,1.5753,8.2773,7.7995,49.1,136.3,9.27,1.97,1.8183,8.355,129.89,3.8,8.54,1.321,96.2,1.649,34.81,43.32
1.8437,1.1217,2.2321,0.696,2.358,1.5685,8.2774,7.7993,49,137,9.286,1.95,1.8155,8.3375,129.76,3.8,8.543,1.313,96.2,1.6445,34.81,43.31
1.8376,1.1138,2.2193,0.6878,2.375,1.5636,8.2774,7.7993,49,1297.6,9.36,1.91,1.812,8.2785,128.4,3.8,8.4585,1.2785,96.2,1.638,34.78,43.23
1.8426,1.1136,2.2237,0.6875,2.37,1.5632,8.2773,7.7994,48.99,1297.6,9.319,1.735,1.84,8.279,128.18,3.8,8.441,1.273,96.2,1.6293,34.77,43.24
1.8587,1.177,2.2371,0.6853,2.367,1.5663,8.277,7.7995,49.1,1293.6,9.3515,1.595,1.89,8.2375,128.13,3.8,8.3975,1.222,96.2,1.6215,34.73,43.24
1.8615,1.119,2.2361,0.6866,2.36,1.5681,8.2773,7.7992,48.98,1294,9.375,1.64,1.813,8.258,128.45,3.8,8.45,1.28,96.2,1.6216,34.72,43.26
1.8563,1.135,2.2331,0.6839,2.361,1.5579,8.2773,7.7991,48.98,1294,9.437,1.5875,1.872,8.22,127.45,3.8,8.35,1.219,96.2,1.61,34.72,43.24
1.8639,1.172,2.2447,0.6828,2.382,1.5621,8.2773,7.7992,48.98,1288,9.435,1.56,1.8115,8.2295,128.2,3.8,8.3815,1.262,96.2,1.698,34.65,43.15
1.8584,1.949,2.2346,0.6819,2.415,1.565,8.2773,7.7992,49,1284,9.492,1.425,1.85,8.139,127.21,3.8,8.286,1.158,96.25,1.592,34.59,43.1
1.8543,1.91,2.2346,0.6814,2.436,1.5685,8.2774,7.7993,48.97,1281.2,9.475,1.43,1.811,8.19,127.27,3.8,8.2735,1.116,96.25,1.5891,34.57,42.99
1.8481,1.931,2.2272,0.6814,2.4115,1.575,8.2774,7.7994,48.99,1279.5,9.476,1.22,1.881,8.128,127.8,3.8,8.3365,1.259,96.25,1.593,34.57,42.96
1.8553,1.162,2.2326,0.6881,2.4275,1.578,8.2775,7.799,48.97,1285.4,9.413,1.29,1.885,8.2235,128.64,3.8,8.378,1.295,96.25,1.612,34.59,42.94
1.8437,1.14,2.2163,0.6856,2.456,1.5687,8.2772,7.7994,48.99,1282.4,9.4445,1.35,1.895,8.169,128.36,3.8,8.36,1.228,96.25,1.65,34.61,42.94
1.8365,1.97,2.299,0.6847,2.482,1.5575,8.2771,7.7994,49.2,128,9.512,1.223,1.847,8.1595,127.89,3.8,8.32,1.241,96.25,1.5946,34.57,42.9
1.8315,1.981,2.1973,0.6855,2.491,1.5585,8.2769,7.7992,49.3,1277.4,9.4885,1.15,1.829,8.168,127.69,3.8,8.287,1.269,96.25,1.5983,34.55,42.83
1.838,1.184,2.1959,0.699,2.516,1.559,8.277,7.7993,49.2,1279.3,9.525,1.1279,1.88,8.241,128.66,3.8,8.365,1.252,96.25,1.6155,34.58,42.9
1.8248,1.12,2.1858,0.6869,2.53,1.5563,8.2769,7.7992,49.4,1277.5,9.455,1.26,1.855,8.1945,127.92,3.8,8.323,1.16,96.35,1.654,34.57,42.9
1.828,1.983,2.1683,0.6865,2.493,1.555,8.2768,7.799,49.5,1269.8,9.49,1.175,1.86,8.176,128.19,3.8,8.294,1.15,96.4,1.5993,34.54,42.89
1.819,1.862,2.1575,0.6848,2.477,1.542,8.2769,7.799,49.4,1261.6,9.4785,1.6,1.7967,8.78,126.3,3.8,8.22,1.17,96.4,1.581,34.46,42.562
1.813,1.854,2.1482,0.6855,2.472,1.5415,8.2769,7.799,49.6,1253.6,9.4935,1.5,1.7922,8.75,125.64,3.8,8.186,9.9955,96.4,1.5785,34.41,42.62
1.88,1.88,2.1413,0.6864,2.4745,1.5387,8.2769,7.7994,49.1,1249.6,9.51,1.11,1.789,8.93,123.83,3.8,8.194,9.983,96.4,1.5798,34.37,42.59
1.798,1.793,2.129,0.6854,2.57,1.5361,8.277,7.7997,49.1,1242.2,9.535,1.125,1.7925,8.28,124.16,3.8,8.715,9.869,96.4,1.5686,34.34,42.82
1.795,1.831,2.14,0.6875,2.538,1.5338,8.277,7.81,49.7,1241.1,9.527,1.145,1.83,8.57,124.84,3.8,8.73,9.886,96.4,1.5755,34.33,42.89
1.7992,1.846,2.1245,0.686,2.534,1.535,8.2771,7.7999,49.2,1238.2,9.562,1.36,1.799,8.68,124.71,3.8,8.725,9.98,96.45,1.5827,34.36,42.88
1.789,1.77,2.1,0.6841,2.525,1.535,8.2766,7.8,49.2,1232.5,9.565,9.915,1.7935,8.9,124.38,3.8,7.952,9.864,96.4,1.5743,34.28,42.59
1.7778,1.738,2.18,0.6849,2.52,1.5345,8.2766,7.7999,49.1,1229.3,9.61,9.82,1.793,7.98,124.35,3.8,7.945,9.815,96.4,1.5757,34.21,42.48
1.7715,1.669,2.947,0.6824,2.512,1.534,8.2766,7.7999,49.3,1222.5,9.713,9.713,1.7859,7.929,123.8,3.8,7.929,9.721,96.3,1.5621,34.6,42.43
1.7668,1.78,2.877,0.6838,2.522,1.5275,8.2765,7.8,49.6,1219.3,9.6525,9.78,1.788,7.959,124.13,3.8,8.25,9.7445,96.3,1.5693,34.5,42.36
1.751,1.65,2.576,0.6839,2.55,1.5282,8.2767,7.8,49.7,123,9.641,9.84,1.7855,7.914,123.69,3.8,7.92,9.69,96.35,1.5638,34.4,42.41
1.749,1.611,2.44,0.6847,2.572,1.5284,8.2768,7.8,49.7,1215.1,9.725,9.7,1.786,7.889,123.95,3.8,7.897,9.7,96.35,1.5592,33.99,42.35
1.7476,1.648,2.555,0.6862,2.66,1.535,8.2769,7.7998,49.5,1219,9.739,9.955,1.7957,7.922,124.4,3.8,7.876,9.732,96.4,1.5672,34,42.53
1.7397,1.574,2.421,0.6853,2.656,1.5325,8.277,7.81,49.3,123,9.7695,9.81,1.7972,7.8665,124.34,3.8,7.853,9.694,96.42,1.559,34.7,42.52
1.751,1.583,2.483,0.6847,2.648,1.5321,8.277,7.7998,49.5,1233,9.735,9.884,1.791,7.8735,124.49,3.8,7.884,9.756,96.42,1.555,34.6,42.42
1.7565,1.586,2.517,0.6845,2.639,1.5385,8.277,7.8,49.2,1225.5,9.696,9.98,1.7915,7.8775,124.6,3.8,7.875,9.7325,96.5,1.5585,34.6,42.42
1.7596,1.588,2.542,0.689,2.67,1.5383,8.2768,7.7999,49,122.5,9.675,1.81,1.7925,7.873,125.56,3.8,7.866,9.686,96.5,1.562,34.2,42.36
1.7498,1.556,2.296,0.68,2.752,1.5365,8.2769,7.7993,49,1228.6,9.716,1.12,1.7875,7.85,125.64,3.8,7.841,9.685,96.5,1.5595,34.2,42.32
1.7581,1.593,2.383,0.6799,2.635,1.5398,8.2769,7.8,49.4,1228.6,9.638,1.28,1.7845,7.88,125.12,3.8,7.87,9.7,96.5,1.5638,34.2,42.22
1.7848,1.584,2.648,0.6787,2.719,1.5499,8.27,7.8,49.3,1231.1,9.664,1.48,1.7885,7.873,124.25,3.8,7.883,9.684,96.5,1.5626,34.1,42.2
1.7912,1.591,2.687,0.6765,2.681,1.5474,8.2773,7.8,49.2,1225.1,9.65,1.615,1.7895,7.87,124.37,3.8,7.851,9.592,96.45,1.5632,34,42.19
1.78,1.545,2.568,0.6726,2.699,1.5443,8.2775,7.85,48.99,1229,9.634,1.3,1.7935,7.836,124.56,3.8,7.825,9.564,96.39,1.5568,34.2,42.22
1.7683,1.478,2.521,0.6724,2.692,1.5415,8.2774,7.8,48.94,1225,9.69,1.266,1.7866,7.788,124.4,3.8,7.725,9.53,96.39,1.5422,34,42.14
1.7516,1.367,2.375,0.6675,2.759,1.5319,8.2772,7.8,48.94,122,9.785,1.396,1.7791,7.75,123.33,3.8,7.637,9.386,96.4,1.5235,33.92,42.8
1.7413,1.34,2.153,0.6672,2.89,1.5232,8.2771,7.8,48.95,1214.4,9.956,1.25,1.7715,7.658,121.23,3.8,7.675,9.3277,96.35,1.5124,33.76,42.6
1.7431,1.219,2.22,0.6642,2.829,1.5166,8.277,7.8,48.91,128.5,9.93,1.335,1.7674,7.593,121.28,3.8,7.556,9.2625,96.35,1.55,33.67,41.84
1.7596,1.318,2.48,0.6667,2.8135,1.5218,8.2771,7.7999,48.93,128.7,9.815,1.348,1.7723,7.669,121.9,3.8,7.591,9.34,96.38,1.514,33.64,41.93
1.7813,1.178,2.653,0.6572,2.857,1.5211,8.2772,7.8,48.87,1198.9,9.978,1.3,1.7685,7.56,119.83,3.8,7.517,9.271,96.35,1.494,33.52,41.76
1.773,1.116,2.421,0.6542,2.871,1.518,8.2771,7.8,48.86,1197.9,9.97,1.36,1.768,7.517,119.38,3.8,7.489,9.2125,96.35,1.4885,33.5,41.65
1.7768,1.146,2.576,0.656,2.83,1.519,8.2771,7.8,48.91,125,9.98,1.39,1.766,7.535,119.85,3.8,7.524,9.27,96.3,1.492,33.46,41.58
1.789,1.18,2.576,0.6533,2.8575,1.519,8.277,7.85,48.86,121.3,9.925,1.7,1.7694,7.58,12.4,3.8,7.494,9.199,96.3,1.4845,33.47,41.63
1.7784,1.163,2.5,0.6536,2.98,1.5263,8.2769,7.8,48.87,12.8,9.968,1.1138,1.7717,7.5495,12.13,3.8,7.481,9.214,96.35,1.49,33.49,41.54
1.7848,1.187,2.429,0.655,2.868,1.529,8.2768,7.8,48.83,122.8,9.9697,1.185,1.7685,7.568,119.77,3.8,7.464,9.286,96.38,1.497,33.5,41.64
1.796,1.277,2.585,0.6576,2.88,1.5247,8.2766,7.8,48.86,1199.9,9.893,1.9,1.77,7.635,12.19,3.8,7.495,9.375,96.33,1.562,33.48,41.66
1.7718,1.133,2.387,0.6516,2.859,1.528,8.2767,7.8,48.84,1195,9.933,1.15,1.7627,7.5225,118.66,3.8,7.4,9.295,96.33,1.4893,33.41,41.49
1.7581,1.62,2.296,0.6466,2.8455,1.5145,8.2766,7.8,48.82,1177.2,9.8665,9.9962,1.7545,7.475,117.85,3.8,7.36,9.2875,96.32,1.482,33.28,41.27
1.763,1.111,2.396,0.6459,2.854,1.523,8.2767,7.8,48.82,1174.4,9.833,1.2,1.7515,7.517,117.94,3.8,7.376,9.395,96.33,1.4888,33.18,41.152
1.7879,1.74,2.597,0.6433,2.832,1.5223,8.2768,7.8,48.81,1174.5,9.8125,1.11,1.748,7.484,116.62,3.8,7.356,9.353,96.3,1.4793,33.18,41.18
1.7873,1.97,2.653,0.6452,2.8215,1.5299,8.2767,7.8,48.8,1177,9.726,9.97,1.7441,7.51,116.73,3.8,7.417,9.322,96.3,1.4832,33.18,41.7
1.786,0.9929,2.619,0.6387,2.86,1.5365,8.2768,7.8,48.85,1171.6,9.757,1.4,1.739,7.377,116.6,3.8,7.344,9.199,96.27,1.4582,33.11,4.74
1.7912,0.9914,2.576,0.6372,2.869,1.5347,8.2769,7.8,48.83,1166.8,9.727,1.1275,1.7382,7.369,115.71,3.8,7.326,9.244,96.27,1.4548,33,4.42
1.8129,0.9923,2.73,0.6377,2.898,1.5399,8.2769,7.8,48.81,1166.8,9.655,1.1475,1.7397,7.37,116.24,3.8,7.331,9.233,96.2,1.454,32.85,4.55
1.8116,0.9933,2.738,0.6376,2.862,1.544,8.2768,7.8,48.82,1169.8,9.649,9.96,1.7425,7.387,117.2,3.8,7.356,9.245,96.2,1.454,32.89,4.59
1.82,0.9846,2.534,0.6335,2.871,1.5386,8.2769,7.8,48.75,1165.6,9.716,9.95,1.731,7.319,115.73,3.8,7.3295,9.23,96.2,1.4387,32.87,4.46
1.8126,0.993,2.67,0.6329,2.879,1.5562,8.277,7.8,48.73,116.6,9.6385,9.995,1.7335,7.357,116.22,3.8,7.4495,9.455,96.23,1.448,32.88,4.45
1.8335,1.67,2.956,0.6387,2.95,1.5779,8.2771,7.8,48.72,1168.21,9.613,1.86,1.7434,7.488,117.35,3.8,7.618,9.553,96.23,1.4645,33.14,4.98
1.851,1.55,2.1413,0.6351,2.935,1.5765,8.2769,7.8,48.7,117.1,9.75,1.35,1.744,7.4755,116.33,3.8,7.6615,9.5685,96.24,1.4561,33.25,41.22
1.8464,1.3,2.144,0.6348,3,1.5725,8.277,7.8,48.71,1165.9,9.739,1.2,1.7445,7.4325,116.87,3.8,7.5875,9.42,96.26,1.4498,33.26,41.1
1.8622,1.119,2.1598,0.6396,3.2,1.588,8.2768,7.8,48.71,1185.4,9.759,1.28,1.7625,7.526,118.78,3.8,7.636,9.448,96.2,1.4682,33.54,41.97
1.8484,1.226,2.1345,0.6423,3.1365,1.5725,8.2767,7.7999,48.76,1195,9.785,1.9,1.7691,7.597,119.87,3.8,7.696,9.478,96.17,1.4893,33.76,42.47
1.8365,1.122,2.1272,0.6359,3.265,1.5735,8.2766,7.8,48.74,1188,9.748,1.15,1.763,7.526,119.9,3.8,7.528,9.377,96.2,1.4749,33.66,42.3
1.8365,1.28,2.1345,0.64,3.485,1.5845,8.2767,7.8,48.69,1183,9.8,1.19,1.763,7.583,119.77,3.8,7.62,9.515,96.23,1.4833,33.61,42.4
1.8563,1.16,2.1542,0.6419,3.27,1.5867,8.2766,7.8,48.68,1182.8,9.878,1.27,1.7567,7.547,119.1,3.8,7.643,9.552,96.3,1.473,33.52,42.15
1.8532,1.119,2.1552,0.6366,3.7,1.5885,8.2768,7.8,48.68,1184.3,9.8475,1.24,1.7518,7.516,118.98,3.8,7.621,9.572,96.3,1.478,33.57,42.16
1.8896,1.156,2.1867,0.6384,3.9,1.5963,8.2767,7.8,48.67,1197.5,9.7865,1.523,1.756,7.5475,119.26,3.8,7.646,9.556,96.3,1.477,33.68,42.15
1.8939,1.373,2.2198,0.651,3.22,1.5935,8.2768,7.8,48.73,129,9.75,1.64,1.773,7.74,121.14,3.8,7.895,9.6855,96.32,1.513,33.88,42.62
1.8646,1.269,2.1997,0.6513,3.7,1.587,8.2769,7.8,48.7,126,9.738,1.435,1.7663,7.627,12.37,3.8,7.79,9.587,96.22,1.497,33.75,42.41
1.8758,1.359,2.1978,0.6545,2.9245,1.5818,8.2767,7.8,48.68,126.7,9.7475,1.432,1.771,7.6975,121.4,3.8,7.74,9.65,96.2,1.5146,33.85,42.46
1.8678,1.294,2.1844,0.6564,2.985,1.5725,8.2766,7.8,48.67,123.5,9.757,1.47,1.764,7.647,12.15,3.8,7.683,9.56,96.23,1.53,33.77,42.39
1.8546,1.227,2.163,0.6529,3.115,1.5739,8.2768,7.8,48.64,121,9.843,1.4475,1.7598,7.5986,118.85,3.8,7.629,9.58,96.22,1.4965,33.72,42.15
1.8584,1.218,2.1683,0.6532,3.175,1.5658,8.2767,7.8,48.62,124,9.947,1.612,1.7595,7.59,119.8,3.8,7.6,9.449,96.2,1.4952,33.7,42.15
1.865,1.135,2.1636,0.6476,3.195,1.5657,8.2766,7.8,48.63,1186.3,9.962,1.495,1.7452,7.53,116.53,3.85,7.551,9.372,96.15,1.4813,33.59,41.9
1.8372,1.187,2.1422,0.651,3.2,1.5583,8.2768,7.8,48.63,1186,9.922,1.64,1.747,7.57,117.28,3.8,7.578,9.48,96.25,1.497,33.68,41.84
1.8382,1.167,2.1427,0.655,3.155,1.569,8.2768,7.8,48.6,1188.9,9.86,1.5987,1.7475,7.553,117.51,3.8,7.519,9.384,96.3,1.4915,33.74,41.8
1.8443,1.23,2.1445,0.6548,3.825,1.5715,8.2767,7.8,48.61,1194,9.76,1.62,1.7517,7.598,118.53,3.8,7.543,9.444,96.27,1.515,33.84,42.8
